Day,Year,Lhat,SE,Lower,Upper,sigmaPred,loPred,upPred
1924,5.27123287671233,72.7911123831827,1.33895763111209,70.166803649378,75.4154211169875,5.18746559455324,62.6238666468177,82.9583581195477
1925,5.27397260273973,72.7924996670484,1.33930590211793,70.1675083346153,75.4174909994814,5.19063793264205,62.6190362622825,82.9659630718142
1926,5.27671232876712,72.7938838728624,1.3396536189574,70.1682110279472,75.4195567177777,5.19381221073968,62.6141989973483,82.9735687483765
1927,5.27945205479452,72.7952650074543,1.34000078237138,70.1689117347509,75.4216182801577,5.19698843003251,62.6093548565192,82.9811751583894
1928,5.28219178082192,72.7966430776384,1.34034739310022,70.1696104603898,75.423675694887,5.20016659170765,62.604503844283,82.9887823109938
1929,5.28493150684931,72.7980180902139,1.34069345188372,70.1703072102131,75.4257289702146,5.20334669695296,62.5996459651106,82.9963902153171
1930,5.28767123287671,72.7993900519648,1.34103895946113,70.1710019895559,75.4277781143737,5.20652874695699,62.5947812234566,83.0039988804729
1931,5.29041095890411,72.8007589696602,1.34138391657114,70.1716948037395,75.4298231355809,5.20971274290905,62.5899096237591,83.0116083155613
1932,5.29315068493151,72.8021248500542,1.34172832395191,70.1723856580712,75.4318640420372,5.21289868599915,62.5850311704397,83.0192185296687
1933,5.2958904109589,72.8034876998858,1.34207218234103,70.1730745578443,75.4339008419273,5.21608657741806,62.5801458679036,83.026829531868
1934,5.2986301369863,72.8048475258791,1.34241549247555,70.1737615083384,75.4359335434198,5.21927641835724,62.5752537205397,83.0344413312185
1935,5.3013698630137,72.8062043347432,1.34275825509195,70.1744465148192,75.4379621546673,5.22246821000891,62.5703547327204,83.0420539367661
1936,5.3041095890411,72.8075581331725,1.34310047092616,70.1751295825385,75.4399866838066,5.22566195356601,62.5654489088019,83.0496673575431
1937,5.30684931506849,72.8089089278464,1.34344214071356,70.1758107167344,75.4420071389584,5.22885765022219,62.5605362531242,83.0572816025686
1938,5.30958904109589,72.8102567254295,1.34378326518897,70.1764899226315,75.4440235282275,5.23205530117186,62.5556167700108,83.0648966808482
1939,5.31232876712329,72.8116015325717,1.34412384508665,70.1771672054403,75.446035859703,5.23525490761014,62.5506904637692,83.0725126013741
1940,5.31506849315068,72.8129433559079,1.34446388114028,70.177842570358,75.4480441414578,5.2384564707329,62.5457573386906,83.0801293731252
1941,5.31780821917808,72.8142822020586,1.34480337408301,70.178516022568,75.4500483815493,5.24165999173671,62.5408173990501,83.0877470050671
1942,5.32054794520548,72.8156180776295,1.3451423246474,70.1791875672401,75.4520485880188,5.24486547181891,62.5358706491067,83.0953655061522
1943,5.32328767123288,72.8169509892114,1.34548073356547,70.1798572095306,75.4540447688923,5.24807291217754,62.5309170931032,83.1029848853196
1944,5.32602739726027,72.8182809433809,1.34581860156865,70.1805249545823,75.4560369321795,5.25128231401139,62.5259567352664,83.1106051514954
1945,5.32876712328767,72.8196079466997,1.34615592938782,70.1811908075246,75.4580250858749,5.25449367851998,62.5209895798072,83.1182263135923
1946,5.33150684931507,72.8209320057151,1.34649271775329,70.1818547734732,75.460009237957,5.25770700690356,62.5160156309202,83.1258483805099
1947,5.33424657534247,72.8222531269597,1.3468289673948,70.1825168575306,75.4619893963888,5.26092230036311,62.5110348927844,83.133471361135
1948,5.33698630136986,72.8235713169517,1.34716467904151,70.1831770647859,75.4639655691176,5.26413956010037,62.5060473695625,83.141095264341
1949,5.33972602739726,72.824886582195,1.34749985342203,70.1838354003148,75.4659377640752,5.26735878731778,62.5010530654016,83.1487200989884
1950,5.34246575342466,72.8261989291788,1.34783449126438,70.1844918691798,75.4679059891779,5.27057998321853,62.4960519844328,83.1563458739248
1951,5.34520547945205,72.827508364378,1.34816859329601,70.1851464764298,75.4698702523263,5.27380314900656,62.4910441307713,83.1639725979848
1952,5.34794520547945,72.8288148942533,1.3485021602438,70.185799227101,75.4718305614056,5.27702828588652,62.4860295085166,83.17160027999
1953,5.35068493150685,72.8301185252508,1.34883519283405,70.1864501262159,75.4737869242857,5.28025539506381,62.4810081217524,83.1792289287492
1954,5.35342465753425,72.8314192638024,1.3491676917925,70.1870991787841,75.4757393488207,5.28348447774458,62.4759799745466,83.1868585530582
1955,5.35616438356164,72.8327171163258,1.34949965784428,70.1877463898019,75.4776878428497,5.28671553513569,62.4709450709515,83.1944891617002
1956,5.35890410958904,72.8340120892244,1.34983109171397,70.1883917642527,75.4796324141962,5.28994856844476,62.4659034150035,83.2021207634454
1957,5.36164383561644,72.8353041888874,1.35016199412555,70.1890353071066,75.4815730706683,5.29318357888015,62.4608550107235,83.2097533670513
1958,5.36438356164384,72.8365934216898,1.35049236580245,70.1896770233207,75.4835098200589,5.29642056765093,62.4557998621168,83.2173869812628
1959,5.36712328767123,72.8378797939926,1.35082220746748,70.1903169178394,75.4854426701457,5.29965953596694,62.4507379731731,83.225021614812
1960,5.36986301369863,72.8391633121423,1.3511515198429,70.1909549955937,75.487371628691,5.30290048503875,62.4456693478664,83.2326572764183
1961,5.37260273972603,72.8404439824719,1.35148030365036,70.1915912615019,75.4892967034418,5.30614341607767,62.4405939901553,83.2402939747884
1962,5.37534246575343,72.8417218112998,1.35180855961093,70.1922257204694,75.4912179021302,5.30938833029575,62.4355119039829,83.2479317186167
1963,5.37808219178082,72.8429968049307,1.35213628844512,70.1928583773886,75.4931352324728,5.31263522890577,62.4304230932767,83.2555705165847
1964,5.38082191780822,72.8442689696552,1.35246349087282,70.1934892371392,75.4950487021713,5.31588411312128,62.4253275619489,83.2632103773616
